acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.24,0.43,0.3251999999999999,0.0427562919640204,-2.04,-1.39,-1.74535,0.1706855155721499,10.04,10.41,10.2029,0.0550339319723906,-0.22,0.03,-0.11125,0.0467640017459635,0.01,0.1,0.05895,0.0144722052092309,-0.02,0.0,-0.0126,0.0048328856721008,0.0
0.23,0.46,0.31715,0.0428433807767537,-2.04,-1.45,-1.7889,0.1763954841660376,9.98,10.37,10.19565,0.0538617017422663,-0.2,0.03,-0.0997,0.0429433423625401,0.01,0.1,0.05705,0.0138838505657711,-0.02,0.0,-0.0113,0.0044053416639211,0.0
0.23,0.41,0.32625,0.035690426344656,-1.97,-1.44,-1.7735,0.1466467741953758,10.04,10.38,10.19545,0.0522055995379382,-0.2,0.02,-0.1135,0.0381184348495171,0.03,0.1,0.06025,0.011580502588446,-0.02,0.0,-0.01225,0.0046416835448631,0.0
0.23,0.43,0.312,0.0388011293416951,-2.02,-1.42,-1.81995,0.1589712451480442,9.96,10.39,10.1863,0.0552591882807487,-0.2,0.01,-0.1069,0.0375558545509921,0.02,0.1,0.05875,0.0124382898855261,-0.02,0.0,-0.01145,0.0046373510893211,0.0
0.23,0.47,0.31865,0.0481484043787652,-2.02,-1.36,-1.81675,0.1718446695485818,9.94,10.4,10.1909,0.061294166723856,-0.2,0.03,-0.1089499999999999,0.039012915011422,0.01,0.1,0.0593,0.0133942911412242,-0.02,0.0,-0.01125,0.0045872337598861,0.0
0.15,0.38,0.2602,0.0532554288642724,-1.88,-1.22,-1.5783499999999997,0.1963198536180768,10.04,10.48,10.2354,0.0587802311826812,-0.21,0.02,-0.1014,0.0499450954830809,0.01,0.1,0.05705,0.0157810872112107,-0.02,0.0,-0.01175,0.0052512262267419,0.0
0.24,0.49,0.33945,0.048579805345814,-2.01,-1.28,-1.77445,0.2080725074143831,9.94,10.41,10.19785,0.0627259934258221,-0.19,-0.03,-0.1144999999999999,0.0337705827800843,0.03,0.1,0.06005,0.0117125324795889,-0.02,0.0,-0.01225,0.0044198615226494,0.0
0.26,0.49,0.3483499999999999,0.0488539768624457,-2.01,-1.28,-1.74795,0.1988062299965148,10.01,10.39,10.20035,0.0562512088088986,-0.19,0.02,-0.10635,0.0392156452729118,0.02,0.1,0.0583,0.0125658066787388,-0.02,0.0,-0.01175,0.0046416835448631,0.0
0.28,0.53,0.38085,0.0508498380543218,-1.94,-1.2,-1.59825,0.2077044612329749,9.97,10.43,10.23065,0.0605923648108145,-0.2,0.01,-0.09415,0.0469285514875924,0.02,0.09,0.05555,0.0145172744095235,-0.02,0.0,-0.0113499999999999,0.0051779878127458,0.0
0.26,0.51,0.36095,0.0530060914296009,-2.0,-1.24,-1.6961000000000002,0.221640276259306,9.96,10.41,10.2113,0.0627134345604819,-0.22,0.02,-0.1115,0.0451991684007637,0.03,0.09,0.06005,0.0136170710182321,-0.02,0.0,-0.01245,0.0051604896343594,0.0
0.27,0.48,0.3572999999999999,0.0506610571698601,-2.0,-1.26,-1.7179,0.2145524499250573,10.03,10.41,10.20915,0.0590696505668557,-0.22,0.02,-0.1158,0.0483741697758993,0.01,0.11,0.06,0.014388716964323,-0.02,0.0,-0.01335,0.005606663300648,0.0
