ax,ay,az,gx,gy,gz
0,-1.37,10.24,-0.11,0.06,-0.01
0.01,-1.38,10.24,-0.11,0.05,-0.01
0,-1.37,10.25,-0.11,0.05,-0.01
0,-1.38,10.27,-0.11,0.05,-0.02
0.01,-1.36,10.26,-0.11,0.05,-0.01
0.02,-1.36,10.24,-0.11,0.05,-0.01
0.03,-1.36,10.22,-0.1,0.05,-0.01
0.03,-1.39,10.25,-0.12,0.06,-0.02
0.03,-1.41,10.3,-0.14,0.07,-0.02
0.04,-1.4,10.22,-0.08,0.05,-0.01
-0.02,-1.36,10.28,-0.11,0.05,-0.02
0,-1.38,10.24,-0.12,0.07,-0.01
0.01,-1.32,10.09,-0.07,0.08,-0.01
0.01,-1.36,10.2,-0.11,0.07,-0.01
0.01,-1.46,10.41,-0.15,0.06,-0.02
0.02,-1.42,10.27,-0.1,0.06,-0.01
0.01,-1.37,10.18,-0.1,0.07,-0.01
0.02,-1.33,10.23,-0.13,0.08,-0.01
0.03,-1.39,10.33,-0.13,0.07,-0.01
-0.01,-1.37,10.29,-0.11,0.06,-0.01
-0.01,-1.39,10.22,-0.11,0.06,-0.01
0.03,-1.4,10.23,-0.12,0.06,-0.01
0.02,-1.42,10.21,-0.12,0.07,-0.01
-0.05,-1.44,10.39,-0.16,0.06,-0.02
0.03,-1.36,10.08,-0.05,0.04,0
0,-1.42,10.25,-0.12,0.05,-0.02
-0.04,-1.41,10.31,-0.11,0.05,-0.02
-0.03,-1.41,10.28,-0.08,0.05,-0.01
-0.01,-1.35,10.22,-0.09,0.06,-0.01
0.03,-1.35,10.25,-0.11,0.06,-0.01
0.04,-1.36,10.27,-0.11,0.05,-0.01
0.02,-1.37,10.22,-0.09,0.05,-0.01
0.02,-1.35,10.21,-0.09,0.05,-0.01
0.03,-1.36,10.25,-0.09,0.05,-0.01
0.04,-1.37,10.24,-0.1,0.05,-0.01
0.02,-1.39,10.23,-0.1,0.05,-0.01
0.01,-1.39,10.24,-0.1,0.05,-0.01
0.02,-1.38,10.24,-0.11,0.05,-0.01
0.01,-1.38,10.25,-0.11,0.05,-0.01
0.01,-1.36,10.28,-0.11,0.05,-0.01
0.02,-1.36,10.26,-0.11,0.05,-0.01
0.02,-1.34,10.26,-0.1,0.05,-0.01
0.04,-1.36,10.21,-0.11,0.06,-0.01
0.03,-1.38,10.29,-0.14,0.06,-0.02
0.04,-1.36,10.26,-0.13,0.06,-0.01
0.07,-1.36,10.05,-0.01,0.04,0
-0.04,-1.4,10.42,-0.16,0.07,-0.02
0.03,-1.36,10.37,-0.15,0.08,-0.02
0,-1.32,10.03,-0.06,0.07,0
-0.01,-1.37,10.3,-0.14,0.07,-0.02
0,-1.43,10.37,-0.13,0.06,-0.02
0.01,-1.39,10.21,-0.09,0.06,-0.01
0.01,-1.32,10.18,-0.12,0.07,-0.01
0.04,-1.33,10.25,-0.14,0.08,-0.01
0.01,-1.38,10.31,-0.13,0.07,-0.01
-0.01,-1.37,10.25,-0.12,0.07,-0.01
0.01,-1.36,10.21,-0.11,0.06,-0.01
0.01,-1.4,10.2,-0.13,0.06,-0.01
-0.01,-1.44,10.3,-0.14,0.08,-0.01
-0.01,-1.41,10.23,-0.11,0.06,-0.01
0.02,-1.38,10.11,-0.07,0.05,-0.01
-0.01,-1.44,10.32,-0.13,0.06,-0.02
-0.02,-1.44,10.3,-0.11,0.05,-0.01
-0.05,-1.41,10.29,-0.09,0.05,-0.01
-0.01,-1.38,10.21,-0.09,0.06,-0.01
0.04,-1.37,10.26,-0.12,0.06,-0.01
0.04,-1.36,10.21,-0.11,0.06,-0.02
-0.02,-1.36,10.21,-0.11,0.06,-0.01
0,-1.4,10.21,-0.1,0.05,-0.01
0.03,-1.38,10.26,-0.1,0.05,-0.01
0.04,-1.4,10.25,-0.1,0.05,-0.01
0,-1.4,10.25,-0.11,0.06,-0.01
0,-1.38,10.23,-0.11,0.05,-0.01
0.02,-1.39,10.25,-0.11,0.05,-0.01
0,-1.37,10.24,-0.11,0.05,-0.01
0.02,-1.37,10.27,-0.11,0.05,-0.01
0.02,-1.38,10.23,-0.1,0.05,-0.01
0.04,-1.37,10.21,-0.1,0.06,-0.01
0,-1.38,10.29,-0.14,0.07,-0.02
0.03,-1.4,10.27,-0.12,0.08,-0.01
0.04,-1.37,10.04,-0.01,0.08,0
-0.07,-1.43,10.37,-0.17,0.1,-0.02
-0.02,-1.38,10.36,-0.16,0.11,-0.01
-0.02,-1.33,10.02,-0.08,0.11,0
-0.05,-1.41,10.29,-0.16,0.11,-0.01
-0.06,-1.45,10.34,-0.15,0.08,-0.01
-0.06,-1.45,10.22,-0.11,0.08,-0.01
-0.07,-1.37,10.17,-0.12,0.08,-0.01
-0.02,-1.39,10.25,-0.14,0.08,-0.01
-0.06,-1.42,10.29,-0.13,0.07,-0.01
-0.09,-1.42,10.26,-0.13,0.08,-0.01
-0.06,-1.4,10.18,-0.13,0.08,-0.01
-0.04,-1.45,10.2,-0.13,0.08,-0.01
-0.08,-1.48,10.28,-0.14,0.08,-0.01
-0.1,-1.47,10.2,-0.11,0.06,-0.01
-0.08,-1.43,10.08,-0.08,0.06,-0.01
-0.11,-1.48,10.3,-0.14,0.06,-0.02
-0.11,-1.49,10.27,-0.11,0.06,-0.01
-0.13,-1.46,10.28,-0.1,0.05,-0.01
-0.1,-1.42,10.18,-0.1,0.06,-0.01
-0.05,-1.42,10.26,-0.11,0.06,-0.01
-0.09,-1.42,10.22,-0.1,0.06,-0.01
-0.09,-1.42,10.22,-0.1,0.06,-0.02
-0.07,-1.44,10.22,-0.11,0.05,-0.01
-0.08,-1.46,10.26,-0.1,0.06,-0.01
-0.09,-1.48,10.22,-0.1,0.06,-0.01
-0.09,-1.45,10.22,-0.1,0.06,-0.01
-0.09,-1.47,10.22,-0.11,0.05,-0.01
-0.1,-1.46,10.21,-0.1,0.05,-0.01
-0.11,-1.45,10.24,-0.1,0.05,-0.02
-0.08,-1.46,10.26,-0.1,0.04,-0.02
-0.07,-1.42,10.18,-0.08,0.04,-0.01
-0.06,-1.42,10.24,-0.11,0.05,-0.01
-0.06,-1.43,10.3,-0.15,0.06,-0.02
-0.03,-1.45,10.18,-0.09,0.05,-0.01
-0.09,-1.42,10.23,-0.08,0.05,-0.01
-0.06,-1.47,10.26,-0.11,0.08,-0.01
-0.08,-1.4,10.1,-0.08,0.08,-0.01
-0.11,-1.41,10.13,-0.1,0.08,-0.01
-0.11,-1.49,10.38,-0.16,0.07,-0.02
-0.11,-1.46,10.25,-0.12,0.06,-0.01
-0.1,-1.44,10.17,-0.12,0.07,-0.01
-0.07,-1.43,10.2,-0.14,0.08,-0.01
-0.09,-1.45,10.29,-0.14,0.07,-0.01
-0.1,-1.43,10.25,-0.13,0.07,-0.01
-0.1,-1.46,10.23,-0.12,0.07,-0.01
-0.08,-1.47,10.23,-0.12,0.06,-0.01
-0.09,-1.47,10.19,-0.11,0.06,-0.01
-0.13,-1.52,10.41,-0.16,0.06,-0.02
-0.09,-1.45,10.07,-0.04,0.03,0
-0.1,-1.49,10.26,-0.1,0.05,-0.01
-0.09,-1.49,10.28,-0.08,0.04,-0.01
-0.11,-1.49,10.24,-0.08,0.05,-0.01
-0.14,-1.44,10.2,-0.09,0.05,-0.01
-0.06,-1.43,10.21,-0.09,0.05,-0.01
-0.04,-1.44,10.22,-0.1,0.06,-0.01
-0.08,-1.43,10.24,-0.12,0.09,-0.02
-0.1,-1.4,10.22,-0.11,0.09,-0.01
-0.08,-1.45,10.25,-0.1,0.07,-0.01
-0.09,-1.47,10.2,-0.09,0.06,-0.01
-0.1,-1.44,10.22,-0.1,0.06,-0.01
-0.12,-1.44,10.23,-0.11,0.05,-0.01
-0.12,-1.43,10.25,-0.1,0.04,-0.01
-0.11,-1.47,10.23,-0.1,0.04,-0.01
-0.12,-1.43,10.23,-0.09,0.03,-0.01
-0.08,-1.42,10.19,-0.08,0.03,-0.01
-0.1,-1.43,10.23,-0.09,0.03,-0.01
-0.06,-1.44,10.31,-0.13,0.04,-0.02
-0.06,-1.43,10.22,-0.07,0.03,-0.01
-0.08,-1.36,10.19,-0.05,0.02,-0.01
-0.05,-1.44,10.22,-0.09,0.06,-0.02
-0.03,-1.36,10.14,-0.06,0.06,-0.01
-0.08,-1.37,10.14,-0.07,0.05,-0.01
-0.11,-1.44,10.36,-0.13,0.05,-0.02
-0.07,-1.47,10.28,-0.09,0.04,-0.01
-0.07,-1.39,10.17,-0.08,0.05,-0.01
-0.05,-1.33,10.22,-0.12,0.07,-0.01
-0.02,-1.37,10.29,-0.13,0.06,-0.01
-0.05,-1.37,10.28,-0.12,0.06,-0.01
-0.08,-1.36,10.26,-0.12,0.07,-0.01
-0.05,-1.37,10.18,-0.13,0.07,-0.01
-0.03,-1.42,10.25,-0.13,0.07,-0.01
-0.08,-1.46,10.4,-0.17,0.07,-0.02
-0.04,-1.38,10.09,-0.07,0.04,0
-0.06,-1.44,10.28,-0.14,0.06,-0.02
-0.08,-1.45,10.3,-0.12,0.05,-0.01
-0.09,-1.43,10.24,-0.1,0.06,-0.01
-0.11,-1.39,10.22,-0.1,0.06,-0.01
-0.04,-1.38,10.24,-0.11,0.06,-0.01
-0.02,-1.39,10.23,-0.1,0.05,-0.01
-0.04,-1.38,10.21,-0.09,0.05,-0.02
-0.06,-1.39,10.23,-0.09,0.05,-0.01
-0.03,-1.39,10.24,-0.08,0.04,-0.01
-0.06,-1.4,10.2,-0.09,0.05,-0.01
