ax,ay,az,gx,gy,gz
0.01,-1.42,10.31,-0.12,0.05,-0.02
0.0,-1.43,10.24,-0.1,0.05,-0.01
-0.06,-1.4,10.27,-0.1,0.06,-0.01
0.0,-1.36,10.22,-0.1,0.05,-0.01
0.05,-1.38,10.24,-0.11,0.06,-0.01
0.05,-1.37,10.2,-0.11,0.06,-0.02
0.01,-1.38,10.23,-0.11,0.06,-0.01
0.01,-1.38,10.24,-0.1,0.05,-0.01
0.06,-1.41,10.23,-0.1,0.05,-0.01
0.03,-1.4,10.23,-0.1,0.05,-0.01
0.02,-1.39,10.23,-0.1,0.05,-0.01
0.01,-1.37,10.22,-0.11,0.05,-0.01
0.0,-1.39,10.24,-0.11,0.05,-0.01
0.01,-1.4,10.26,-0.1,0.05,-0.01
0.02,-1.37,10.24,-0.11,0.05,-0.02
0.01,-1.39,10.2,-0.1,0.05,-0.01
0.03,-1.37,10.2,-0.1,0.06,-0.01
0.0,-1.39,10.32,-0.14,0.07,-0.02
